Location,"Population, total",Population density (people per sq. km of land area),GDP_per_capita_USD,Current_health_expenditure_per_capita_USD,"Population, female (% of total population)","Literacy rate, adult total (% of people ages 15 and above)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Urban population%,Rural population (% of total population)
Guyana,779004,3.957348235,4979.002188,230.5272827,49.80802483,,19.967,7.456,26.606,73.394
Haiti,11123176,403.5985486,868.3420247,62.35327911,50.65220989,,24.349,8.534,55.278,44.722
Honduras,9587522,85.68703191,2500.113213,195.9357452,50.04934017,87.20524,21.599,4.437,57.096,42.904
"Hong Kong SAR, China",7451000,7096.190476,48675.61646,,53.93244298,,7.2,6.4,100,0
Hungary,9775564,107.9066055,16161.98051,981.4230347,52.43242803,,9.6,13.4,71.351,28.649
Iceland,352721,3.526922693,73191.11632,6086.311523,49.81170852,,12,6.4,93.813,6.187
India,1350000000,454.9380726,2009.978857,69.29309845,48.02353964,74.37299,17.857,7.234,34.03,65.97
Indonesia,268000000,147.7521901,3893.596078,114.9717865,49.64388219,95.65856,18.072,6.465,55.325,44.675
Iran,81800269,50.22242012,5627.7,475.47995,49.43912976,,18.783,4.843,74.898,25.102
Iraq,38433600,88.53057004,5834.166211,210.3137054,49.40868153,,29.075,4.776,70.473,29.527
Ireland,4867309,70.45298302,78806.432,4976.862305,50.42550948,,12.5,6.4,63.17,36.83
Isle of Man,84077,147.5035088,,,,,,,52.588,47.412
Israel,8882800,410.5268022,41715.02928,3144.626221,50.29812658,,20.8,5,92.418,7.582
Italy,60421760,205.4507479,34483.204,2840.130615,51.37666963,99.15576,7.3,10.5,70.438,29.562
Jamaica,2934855,270.9930748,5354.236859,307.1960449,50.33982963,,16.103,7.573,55.674,44.326
Japan,127000000,347.0734584,39289.95843,4168.986328,51.15925913,,7.4,11,91.616,8.384
Jordan,9956011,112.1424983,4241.788782,340.6618042,49.38968354,98.22711,21.979,3.864,90.979,9.021
Kazakhstan,18272430,6.769825907,9812.601137,279.6453247,51.51148365,99.78163,21.77,7.14,57.428,42.572
Kenya,51393010,90.29941666,1710.510097,76.61032104,50.31602039,81.53497,28.748,5.469,27.03,72.97
Kiribati,115847,143.0209877,1625.2861,171.4174805,50.8485696,,27.887,6.329,54.057,45.943
"Korea, Dem. People’s Rep.",25549819,212.1901752,,,51.09385248,,13.89,9.088,61.899,38.101
South Korea,51606633,529.6521036,31362.75147,2283.074707,49.91688179,,6.4,5.8,81.459,18.541
Kosovo,1845300,,4302.276483,,,,16,7,,
Kuwait,4137309,232.1722222,33994.40657,1529.077637,39.54817062,96.05647,13.939,2.696,100,0
Kyrgyzstan,6322800,32.92909281,1281.363661,78.82283783,50.52486308,99.586,27.1,5.2,36.351,63.649
Laos,7061507,30.59578423,2542.486528,62.12463379,49.78936481,,23.549,6.434,35.004,64.996
Latvia,1927174,30.98330653,17860.6172,930.352356,54.01016666,99.88931,10,15,68.142,31.858
Lebanon,6848925,669.4941349,8269.787676,719.4434814,49.70580552,95.06944,17.545,4.356,88.593,11.407
Lesotho,2108132,69.43781291,1299.153126,104.5527954,50.71689543,,26.808,14.246,28.153,71.847
Liberia,4818977,50.03090739,677.3221785,56.59902954,49.76829102,,33.042,7.538,51.151,48.849
Libya,6678567,3.795632381,7241.704481,,49.48378881,,18.829,5.095,80.102,19.898
Liechtenstein,37910,236.9375,,,,,9.9,7.2,14.338,85.662
Lithuania,2801543,44.53135138,19153.40899,1078.179199,53.79195865,,10,14.1,67.679,32.321
Luxembourg,607950,250.0938272,116639.888,5782.628418,49.53925897,,10.3,7.1,90.981,9.019
"Macao SAR, China",631636,20777.50026,87208.53591,,51.97828486,,11.058,3.939,100,0
Madagascar,26262368,45.13985562,527.501285,24.6708374,50.12396661,74.80432,32.657,6.055,37.191,62.809
Malawi,18143315,192.4407616,389.3980332,32.25938416,50.70151569,,34.118,6.597,16.937,83.063
Malaysia,31528585,95.96282149,11373.233,384.0660706,48.57852058,94.85441,16.752,5.09,76.036,23.964
Maldives,515696,1718.986667,10330.61561,1006.938782,37.26498146,,14.199,2.814,39.808,60.192
Mali,19077690,15.63501586,899.6599081,31.37810516,49.94099673,35.47377,41.543,9.686,42.356,57.644
Malta,484630,1511.03125,30098.28331,2585.563965,49.87330822,94.50319,9.2,7.6,94.612,5.388
Marshall Islands,58413,324.5166667,3788.163594,642.1991577,,,,,77.031,22.969
Mauritania,4403319,4.272163578,1188.834588,48.81713104,49.82265622,,33.694,7.222,53.672,46.328
